SC-5,SP-6,SHBd,minHaaCH,maxwHBa,FMF,Class
0.540936,7.64192,0.162171,0.44527,2.20557,0.467742,High_BFE
0.815332,6.59011,0,0.497445,2.00314,0.415385,High_BFE
0.734399,6.85522,0,0.507748,1.8859,0.4,High_BFE
0.624557,7.00949,0.4503,0.483648,2.02757,0.5,High_BFE
0.46029,4.92643,0.448998,0.482293,2.06438,0.536585,High_BFE
0.739251,5.30234,0,0.503995,1.84017,0.428571,High_BFE
0.282118,4.41568,0.417064,0.392469,2.19695,0.323077,High_BFE
0.359117,5.16718,0,0.366074,2.26862,0.387097,High_BFE
0.535463,5.42374,0.55678,0.489314,1.9275,0.418182,High_BFE
0.553846,6.64192,0.43054,0.480831,1.98758,0.482143,High_BFE
0.770928,5.90091,0.323544,0.494985,1.94505,0.403846,High_BFE
0.381723,5.1956,0.479925,0.462768,2.17964,0.44,High_BFE
0.274972,4.34101,1.23861,0.503565,2.02422,0.536585,High_BFE
0.816281,6.78098,0.360264,0.506231,1.89416,0.419355,High_BFE
0.7466,6.92017,0.768726,0.410466,2.1668,0.460317,High_BFE
0.500222,6.42944,0.294664,0.467798,2.13138,0.471698,High_BFE
0.557572,5.96878,0.435868,0.466251,2.00353,0.438596,High_BFE
0.518211,5.53707,0,0.548255,1.74985,0.446429,High_BFE
0.282118,4.71436,1.31416,0.438579,2.03247,0.338983,High_BFE
0.784536,7.54034,0,0.429298,2.16915,0.453125,High_BFE
0.628917,7.27583,0,0.452444,2.16027,0.462687,High_BFE
0.409501,5.02379,0,0.469384,2.03957,0.490196,High_BFE
0.628931,6.63444,0,0.501485,1.87894,0.416667,High_BFE
0.518211,4.00117,0.495723,0.54353,1.80884,0.380952,High_BFE
0.439644,5.16315,0.44855,0.505835,1.89035,0.490566,High_BFE
0.890234,7.16885,0.293195,0.434815,2.09353,0.453125,High_BFE
0.546246,5.84903,0.522993,0.455035,2.00957,0.412698,High_BFE
0.412272,5.30479,0.378251,0.471879,1.94403,0.45,High_BFE
0.41146,5.03047,0.986446,0.509571,2.0135,0.458333,High_BFE
0.373065,3.71563,0.420276,0.479832,1.99338,0.4,High_BFE
0.469416,4.63567,0,0.61247,1.72921,0.423077,High_BFE
0.786433,7.15302,0,0.513629,1.6594,0.380952,High_BFE
0.44005,5.47159,0,0.524244,2.00258,0.370968,High_BFE
0.359117,4.57471,0.209793,0.429979,2.15451,0.423729,High_BFE
0.2476,5.20834,0.407951,0.448684,2.12894,0.38983,High_BFE
0.329333,5.54473,0.501096,0.512315,2.01516,0.489796,High_BFE
0.439644,5.9654,0,0.467512,2.21049,0.454545,High_BFE
0.569953,5.92953,0.394824,0.535542,1.73465,0.377049,High_BFE
0.525783,4.00272,0,0.578673,1.49627,0.361702,High_BFE
0.399969,4.16113,0.862242,0.449551,2.18424,0.470588,High_BFE
0.359117,4.64136,0.362322,0.494876,2.05551,0.4375,High_BFE
0.414672,3.8748,0.430112,0.459106,2.06616,0.325581,High_BFE
0.416667,5.22219,0.58784,0.424874,2.18741,0.407407,High_BFE
0.310301,3.72521,0,0.468705,1.83889,0.358491,High_BFE
0.191638,4.0531,0.246199,0.452885,2.10883,0.365385,High_BFE
0.191638,3.83978,0.334662,0.430995,2.25303,0.431818,High_BFE
0.652835,4.57276,0.439866,0.442,2.0162,0.333333,High_BFE
0.451184,3.28186,0.908275,0.613885,1.42498,0.320755,High_BFE
0.253934,3.99419,0.41996,0.504726,2.01177,0.333333,High_BFE
0.284518,4.36249,0.380677,0.472382,2.04804,0.358491,High_BFE
0.393471,5.6891,0.264742,0.420651,2.34613,0.36,Low_BFE
0.309489,3.43659,0.380631,0.461808,2.13029,0.35,Low_BFE
0.405309,4.97964,1.465,0.547479,1.74983,0.333333,Low_BFE
0.503325,3.06387,1.18059,0.544552,1.73302,0.319149,Low_BFE
0.532118,3.63253,0.34612,0,0.009025,0.372549,Low_BFE
0.38952,3.84207,0.34591,0.559813,1.69601,0.352941,Low_BFE
0.219416,3.2263,0.201241,0.482328,2.06474,0.416667,Low_BFE
0.319036,3.37614,0.474902,0.550379,1.83549,0.377778,Low_BFE
0.235702,2.52356,0.410865,0.449222,2.04615,0.351351,Low_BFE
0.136083,3.33865,0.515312,0.555337,1.91071,0.395833,Low_BFE
0.393229,4.45894,0.384414,0.464438,2.0852,0.269231,Low_BFE
0.381723,5.10939,0,0.433054,2.21884,0.388889,Low_BFE
0.404735,3.89057,0.520117,0.652003,1.61834,0.238095,Low_BFE
0.918546,5.64536,0.660618,0.479358,1.88688,0.307692,Low_BFE
0.823193,3.89252,0.31537,0.424324,1.98803,0.296296,Low_BFE
0.563241,3.53061,0.395931,0.567914,1.4889,0.240741,Low_BFE
0.525783,3.35037,0,0.512025,1.81429,0.372093,Low_BFE
0.393229,3.53571,1.18892,0.434254,2.0807,0.486486,Low_BFE
0.284518,3.54521,0,0.614303,1.60977,0.414634,Low_BFE
0.354351,3.81865,0.479925,0.493265,1.90127,0.358491,Low_BFE
0.136083,3.34724,0.891503,0.489801,1.97442,0.418605,Low_BFE
0.282118,2.88341,0.417126,0.542979,1.82137,0.268293,Low_BFE
0.117851,3.28853,0,0,0.526565,0.404762,Low_BFE
0.083333,3.87774,0.335309,0.456568,2.10823,0.343284,Low_BFE
0.388869,2.68691,0,0.393893,2.3316,0.352941,Low_BFE
0.235702,2.81622,0,0.407168,3.77865,0.297872,Low_BFE
0.428152,3.98745,0.834817,0.495192,1.86886,0.363636,Low_BFE
0.284518,2.48542,0.490229,0.468221,2.06575,0.377778,Low_BFE
0.379717,4.42463,0,0,2.33879,0.307692,Low_BFE
0.302749,5.26819,0.368524,0.61643,1.7558,0.411765,Low_BFE
0.117851,2.39762,0.418575,0.453376,2.03963,0.340426,Low_BFE
0.788675,3.21249,0.378616,0.428933,2.09498,0.3,Low_BFE
0.354351,2.9551,0,0.431463,2.16536,0.25,Low_BFE
0.589217,5.09807,0,0.393998,2.27543,0.403509,Low_BFE
0.191638,3.582,0.882505,0.360055,2.3821,0.3125,Low_BFE
0.216506,2.29193,0.743778,0.316301,2.41541,0.243902,Low_BFE
0.242834,2.45381,0.589528,0.416399,2.12954,0.225,Low_BFE
0.166667,2.39122,0,0.34066,2.41275,0.318182,Low_BFE
0.235702,2.54661,0.379107,0,0.232192,0.269231,Low_BFE
0.323802,2.09181,0.788531,0.509167,1.91675,0.292683,Low_BFE
0.284518,3.91652,0.351444,0.720723,1.21413,0.333333,Low_BFE
0.303561,2.31848,0.537314,0.442655,2.18643,0.354839,Low_BFE
0.253934,3.03819,0,0.481009,2.09627,0.319149,Low_BFE
0.408956,3.27043,0,0,0.399323,0.326531,Low_BFE
0.400672,2.85285,0,0.337441,2.42037,0.282609,Low_BFE
0.083333,3.50569,0,0.438522,2.22156,0.307692,Low_BFE
0.707068,4.58381,0,0,0.011251,0.153846,Low_BFE
0.216506,3.0949,0,0,0,0.326531,Low_BFE
0.271018,2.39997,0,0.356727,2.34609,0.342105,Low_BFE
0.136083,3.28751,0,0.380529,2.34601,0.375,Low_BFE
